# BUSCO version is: 3.0.2 
# The lineage dataset is: arthropoda_odb9 (Creation date: 2017-02-07, number of species: 60, number of BUSCOs: 1066)
# To reproduce this run: python /home/she/opt/busco-master/scripts/run_BUSCO.py -i LS05_Trinity.fasta -o LS05_busco -l /home/she/database/arthropoda_odb9/ -m transcriptome -c 20
#
# Busco id	Status	Sequence	Score	Length
EOG090X0007	Complete	TRINITY_DN38206_c3_g5_i1	252.1	447
EOG090X002Z	Missing
EOG090X005G	Fragmented	TRINITY_DN32572_c0_g1_i1	362.9	269
EOG090X005Q	Complete	TRINITY_DN34385_c1_g1_i1	468.1	600
EOG090X0064	Complete	TRINITY_DN36472_c4_g3_i1	3250.2	1508
EOG090X00BV	Fragmented	TRINITY_DN36213_c0_g2_i2	275.1	368
EOG090X00BY	Duplicated	TRINITY_DN38662_c3_g1_i15	1485.4	1635
EOG090X00BY	Duplicated	TRINITY_DN38662_c3_g1_i9	1485.4	1635
EOG090X00DN	Fragmented	TRINITY_DN39192_c5_g12_i1	355.1	208
EOG090X00E0	Fragmented	TRINITY_DN39012_c7_g2_i1	207.1	271
EOG090X00FC	Duplicated	TRINITY_DN37337_c6_g1_i2	1151.4	766
EOG090X00FC	Duplicated	TRINITY_DN37337_c6_g1_i6	1150.3	765
EOG090X00FC	Duplicated	TRINITY_DN37337_c6_g1_i7	1148.7	776
EOG090X00GC	Duplicated	TRINITY_DN37833_c1_g1_i2	1962.9	862
EOG090X00GC	Duplicated	TRINITY_DN37833_c1_g1_i4	1962.8	862
EOG090X00GC	Duplicated	TRINITY_DN37833_c1_g1_i5	1962.4	862
EOG090X00GO	Fragmented	TRINITY_DN35927_c0_g3_i2	1613.7	722
EOG090X00HD	Complete	TRINITY_DN37437_c2_g2_i1	1297.2	753
EOG090X00HY	Complete	TRINITY_DN34330_c0_g3_i1	740.2	369
EOG090X00I4	Duplicated	TRINITY_DN37740_c8_g3_i6	653.1	463
EOG090X00I4	Duplicated	TRINITY_DN37740_c8_g3_i7	656.2	463
EOG090X00J5	Missing
EOG090X00JH	Complete	TRINITY_DN36145_c0_g1_i1	583.0	313
EOG090X00LI	Fragmented	TRINITY_DN37178_c6_g6_i1	427.9	232
EOG090X00M6	Fragmented	TRINITY_DN39102_c9_g1_i1	425.3	196
EOG090X00MP	Duplicated	TRINITY_DN38947_c0_g1_i2	933.4	528
EOG090X00MP	Duplicated	TRINITY_DN38947_c0_g1_i4	932.1	553
EOG090X00NX	Duplicated	TRINITY_DN27993_c0_g1_i2	218.1	247
EOG090X00NX	Duplicated	TRINITY_DN39282_c0_g1_i1	230.2	254
EOG090X00PD	Fragmented	TRINITY_DN36667_c14_g4_i1	213.3	215
EOG090X00QE	Fragmented	TRINITY_DN37281_c5_g1_i1	225.8	145
EOG090X00QS	Fragmented	TRINITY_DN20742_c0_g1_i1	194.7	120
EOG090X00RF	Fragmented	TRINITY_DN41672_c0_g1_i1	245.1	223
EOG090X00RJ	Duplicated	TRINITY_DN36255_c0_g1_i1	564.6	722
EOG090X00RJ	Duplicated	TRINITY_DN37627_c7_g4_i5	616.7	737
EOG090X00SQ	Missing
EOG090X00ST	Complete	TRINITY_DN39165_c4_g3_i7	1280.1	719
EOG090X00TB	Complete	TRINITY_DN36526_c5_g6_i1	735.5	335
EOG090X00U2	Missing
EOG090X00U8	Complete	TRINITY_DN37811_c6_g2_i1	1355.7	719
EOG090X00V6	Duplicated	TRINITY_DN38785_c5_g2_i3	1787.3	865
EOG090X00V6	Duplicated	TRINITY_DN38785_c5_g2_i4	1787.3	865
EOG090X00V6	Duplicated	TRINITY_DN38785_c5_g2_i5	1787.3	865
EOG090X00VK	Fragmented	TRINITY_DN12513_c0_g1_i1	183.2	108
EOG090X00WU	Missing
EOG090X00X3	Complete	TRINITY_DN34583_c0_g5_i1	710.4	398
EOG090X0109	Fragmented	TRINITY_DN30142_c0_g2_i1	305.1	133
EOG090X010S	Missing
EOG090X0131	Fragmented	TRINITY_DN38188_c3_g10_i1	428.1	303
EOG090X013U	Complete	TRINITY_DN34616_c0_g3_i1	173.1	352
EOG090X0141	Fragmented	TRINITY_DN32494_c0_g1_i1	192.2	82
EOG090X0143	Duplicated	TRINITY_DN37531_c5_g4_i3	560.0	389
EOG090X0143	Duplicated	TRINITY_DN37531_c5_g4_i6	490.9	365
EOG090X014A	Missing
EOG090X014D	Duplicated	TRINITY_DN37243_c3_g2_i3	1093.0	744
EOG090X014D	Duplicated	TRINITY_DN37243_c3_g2_i4	1091.4	744
EOG090X014G	Complete	TRINITY_DN37435_c8_g5_i1	1515.1	825
EOG090X0154	Complete	TRINITY_DN38532_c6_g2_i1	463.4	309
EOG090X015P	Missing
EOG090X017M	Fragmented	TRINITY_DN38167_c4_g3_i3	148.9	83
EOG090X017N	Fragmented	TRINITY_DN41290_c0_g1_i1	73.1	55
EOG090X017X	Fragmented	TRINITY_DN31026_c0_g1_i1	508.8	250
EOG090X0181	Complete	TRINITY_DN36236_c0_g3_i1	425.7	307
EOG090X018J	Missing
EOG090X019S	Fragmented	TRINITY_DN22597_c0_g1_i1	152.8	123
EOG090X01A3	Duplicated	TRINITY_DN39014_c1_g1_i13	1046.3	618
EOG090X01A3	Duplicated	TRINITY_DN39014_c1_g1_i7	1004.6	618
EOG090X01A3	Duplicated	TRINITY_DN39014_c1_g1_i9	1046.4	618
EOG090X01AN	Missing
EOG090X01B4	Fragmented	TRINITY_DN31954_c0_g4_i1	379.4	185
EOG090X01BP	Missing
EOG090X01BU	Duplicated	TRINITY_DN35881_c0_g2_i2	667.0	448
EOG090X01BU	Duplicated	TRINITY_DN35881_c0_g2_i3	656.4	430
EOG090X01BU	Duplicated	TRINITY_DN35881_c0_g2_i4	590.2	393
EOG090X01EL	Complete	TRINITY_DN37769_c9_g1_i1	996.7	527
EOG090X01EZ	Fragmented	TRINITY_DN37630_c13_g4_i1	981.1	540
EOG090X01F7	Complete	TRINITY_DN37691_c0_g4_i1	100.1	348
EOG090X01FD	Fragmented	TRINITY_DN38084_c2_g12_i1	261.7	171
EOG090X01FO	Complete	TRINITY_DN30446_c0_g1_i2	1476.7	743
EOG090X01G2	Complete	TRINITY_DN35683_c0_g1_i2	1029.1	611
EOG090X01H4	Fragmented	TRINITY_DN36970_c0_g1_i1	319.9	274
EOG090X01HT	Duplicated	TRINITY_DN37553_c1_g3_i2	613.9	321
EOG090X01HT	Duplicated	TRINITY_DN37553_c1_g3_i3	612.3	321
EOG090X01HT	Duplicated	TRINITY_DN37553_c1_g3_i4	613.6	321
EOG090X01LO	Complete	TRINITY_DN37984_c6_g1_i1	291.0	407
EOG090X01LQ	Duplicated	TRINITY_DN37227_c9_g4_i1	228.4	211
EOG090X01LQ	Duplicated	TRINITY_DN37227_c9_g4_i2	228.8	211
EOG090X01LU	Fragmented	TRINITY_DN23023_c0_g2_i1	316.3	162
EOG090X01LY	Complete	TRINITY_DN36717_c7_g3_i1	774.0	466
EOG090X01MR	Fragmented	TRINITY_DN32840_c0_g4_i1	180.2	125
EOG090X01NK	Duplicated	TRINITY_DN39111_c2_g3_i1	1187.3	687
EOG090X01NK	Duplicated	TRINITY_DN39111_c2_g3_i3	1161.0	687
EOG090X01NX	Complete	TRINITY_DN34599_c0_g2_i1	1249.8	633
EOG090X01OH	Missing
EOG090X01OT	Missing
EOG090X01QS	Fragmented	TRINITY_DN37442_c3_g2_i2	286.3	195
EOG090X01QX	Complete	TRINITY_DN32181_c0_g2_i1	76.2	107
EOG090X01R0	Fragmented	TRINITY_DN37397_c6_g4_i1	148.5	317
EOG090X01R1	Complete	TRINITY_DN37256_c2_g5_i1	1079.2	581
EOG090X01SN	Fragmented	TRINITY_DN38778_c4_g1_i1	448.2	307
EOG090X01U4	Complete	TRINITY_DN37146_c6_g1_i1	464.1	588
EOG090X01UE	Complete	TRINITY_DN38229_c8_g2_i1	1020.9	562
EOG090X01UY	Complete	TRINITY_DN39214_c5_g1_i1	1022.0	594
EOG090X01V1	Complete	TRINITY_DN20343_c0_g2_i1	359.5	192
EOG090X01W2	Fragmented	TRINITY_DN37521_c10_g5_i1	283.7	124
EOG090X01XB	Missing
EOG090X01YQ	Complete	TRINITY_DN23227_c0_g1_i1	740.5	380
EOG090X0205	Fragmented	TRINITY_DN33383_c0_g5_i1	314.5	146
EOG090X020Y	Complete	TRINITY_DN37390_c6_g2_i1	140.5	284
EOG090X020Z	Fragmented	TRINITY_DN37488_c6_g4_i1	91.9	66
EOG090X021B	Fragmented	TRINITY_DN23161_c0_g1_i1	281.2	186
EOG090X023B	Fragmented	TRINITY_DN28509_c0_g2_i1	162.8	146
EOG090X024P	Missing
EOG090X0266	Missing
EOG090X0267	Fragmented	TRINITY_DN35799_c0_g1_i2	117.6	86
EOG090X026K	Duplicated	TRINITY_DN37390_c8_g2_i1	1120.2	630
EOG090X026K	Duplicated	TRINITY_DN37390_c8_g2_i3	1040.0	566
EOG090X026K	Duplicated	TRINITY_DN37390_c8_g2_i4	1102.8	593
EOG090X026V	Fragmented	TRINITY_DN38019_c5_g4_i1	173.8	110
EOG090X0272	Missing
EOG090X0279	Complete	TRINITY_DN22981_c0_g1_i2	373.6	207
EOG090X027A	Complete	TRINITY_DN37868_c9_g2_i7	577.8	326
EOG090X027R	Duplicated	TRINITY_DN37418_c4_g1_i4	962.2	514
EOG090X027R	Duplicated	TRINITY_DN37418_c4_g1_i5	1036.3	555
EOG090X027R	Duplicated	TRINITY_DN37418_c4_g1_i6	1036.1	555
EOG090X027U	Fragmented	TRINITY_DN36957_c4_g2_i1	190.9	111
EOG090X0289	Duplicated	TRINITY_DN30345_c0_g1_i1	658.8	561
EOG090X0289	Duplicated	TRINITY_DN30345_c0_g1_i2	657.5	561
EOG090X028A	Fragmented	TRINITY_DN4831_c0_g1_i1	189.0	110
EOG090X028B	Fragmented	TRINITY_DN39048_c2_g3_i1	96.4	84
EOG090X028J	Fragmented	TRINITY_DN32006_c0_g3_i1	280.0	218
EOG090X0294	Fragmented	TRINITY_DN39069_c5_g7_i1	804.3	390
EOG090X0296	Duplicated	TRINITY_DN38085_c6_g2_i5	941.7	652
EOG090X0296	Duplicated	TRINITY_DN38085_c6_g2_i8	941.5	636
EOG090X0296	Duplicated	TRINITY_DN38085_c6_g2_i9	938.5	513
EOG090X02BU	Missing
EOG090X02BW	Fragmented	TRINITY_DN22499_c0_g1_i1	279.8	262
EOG090X02C6	Complete	TRINITY_DN37664_c5_g3_i1	481.5	244
EOG090X02CC	Complete	TRINITY_DN24006_c0_g2_i1	617.0	284
EOG090X02D0	Missing
EOG090X02DA	Fragmented	TRINITY_DN30738_c0_g1_i1	203.4	106
EOG090X02DF	Complete	TRINITY_DN33326_c0_g1_i1	704.9	335
EOG090X02DX	Fragmented	TRINITY_DN36892_c8_g3_i1	277.1	118
EOG090X02DZ	Missing
EOG090X02EM	Complete	TRINITY_DN33802_c0_g1_i2	467.1	300
EOG090X02EP	Fragmented	TRINITY_DN33668_c0_g1_i1	355.0	183
EOG090X02FO	Fragmented	TRINITY_DN38432_c7_g10_i1	358.9	159
EOG090X02G1	Fragmented	TRINITY_DN28882_c0_g4_i1	500.4	294
EOG090X02H3	Complete	TRINITY_DN37275_c6_g1_i1	305.5	235
EOG090X02H9	Complete	TRINITY_DN38639_c3_g6_i1	610.0	407
EOG090X02HV	Complete	TRINITY_DN38663_c7_g3_i1	480.8	416
EOG090X02I4	Fragmented	TRINITY_DN34273_c0_g7_i1	199.8	114
EOG090X02IK	Fragmented	TRINITY_DN45761_c0_g1_i1	99.6	59
EOG090X02IW	Fragmented	TRINITY_DN33161_c0_g1_i1	177.9	122
EOG090X02IY	Missing
EOG090X02J8	Fragmented	TRINITY_DN33765_c0_g1_i1	74.5	184
EOG090X02LG	Missing
EOG090X02LQ	Complete	TRINITY_DN34053_c0_g1_i1	724.8	417
EOG090X02LT	Missing
EOG090X02MG	Missing
EOG090X02MW	Fragmented	TRINITY_DN38233_c4_g1_i1	186.4	122
EOG090X02NT	Duplicated	TRINITY_DN38341_c7_g5_i1	719.3	611
EOG090X02NT	Duplicated	TRINITY_DN38341_c7_g5_i2	707.4	516
EOG090X02PU	Complete	TRINITY_DN33198_c0_g1_i2	609.9	323
EOG090X02QS	Complete	TRINITY_DN38936_c2_g5_i1	942.5	493
EOG090X02QX	Complete	TRINITY_DN30177_c0_g3_i1	286.3	217
EOG090X02RM	Fragmented	TRINITY_DN26586_c0_g1_i1	104.4	76
EOG090X02RQ	Duplicated	TRINITY_DN36977_c7_g3_i2	787.8	427
