#                                                                       --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#        ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
TRINITY_DN33679_c0_g2_i1.p1  -          Apaf-caspas          -           1.3e-102  346.5   0.1  1.5e-102  346.4   0.1   1.0   1   0   0   1   1   1   1 TRINITY_DN33679_c0_g2~~TRINITY_DN33679_c0_g2_i1.p1  ORF type:3prime_partial len:312 (+),score=72.64,APAF_MOUSE|33.437|8.62e-39,CARD|PF00619.20|1.8e-22,NB-ARC|PF00931.21|2e+03,NB-ARC|PF00931.21|3.6e-20,CARD_2|PF16739.4|6.5e-08,AAA_16|PF13191.5|1.2e+03,AAA_16|PF13191.5|0.00042,AAA_22|PF13401.5|2.7e+03,AAA_22|PF13401.5|0.0017,ATPase_2|PF01637.17|7e+02,ATPase_2|PF01637.17|0.014,NADPH_Ox|PF08414.9|0.58,NADPH_Ox|PF08414.9|32,IstB_IS21|PF01695.16|0.089,IstB_IS21|PF01695.16|1.2e+03,RsgA_GTPase|PF03193.15|0.079,AAA_18|PF13238.5|1.6e+02,AAA_18|PF13238.5|2,DUF3140|PF11338.7|0.72,DUF3140|PF11338.7|3.9e+03,DUF3140|PF11338.7|2e+03,AAA_23|PF13476.5|58,AAA_23|PF13476.5|17 TRINITY_DN33679_c0_g2_i1:163-1095(+)
TRINITY_DN33679_c0_g3_i1.p1  -          Apaf-caspas          -            1.6e-76  260.1   5.2   1.7e-76  260.0   5.2   1.0   1   0   0   1   1   1   1 TRINITY_DN33679_c0_g3~~TRINITY_DN33679_c0_g3_i1.p1  ORF type:internal len:219 (+),score=39.50,APAF_RAT|29.310|1.45e-15 TRINITY_DN33679_c0_g3_i1:2-655(+)
TRINITY_DN39222_c4_g3_i1.p1  -          Apaf-caspas          -            8.4e-52  178.2   0.0   9.9e-52  178.0   0.0   1.0   1   0   0   1   1   1   1 TRINITY_DN39222_c4_g3~~TRINITY_DN39222_c4_g3_i1.p1  ORF type:complete len:257 (+),score=46.79,APAF_DANRE|24.800|4.25e-08,ANAPC4_WD40|PF12894.6|3.6e+02,ANAPC4_WD40|PF12894.6|0.00062,Nup160|PF11715.7|2.4,Nup160|PF11715.7|18,ZFYVE21_C|PF16696.4|1.1e+02,ZFYVE21_C|PF16696.4|2.6,WD40|PF00400.31|4.3e+02,WD40|PF00400.31|1.1e+03,WD40|PF00400.31|3.4,WD40|PF00400.31|7.6e+02 TRINITY_DN39222_c4_g3_i1:47-772(+)
TRINITY_DN39222_c4_g1_i1.p1  -          Apaf-caspas          -            2.3e-36  127.0   0.6   2.7e-36  126.8   0.6   1.0   1   0   0   1   1   1   1 TRINITY_DN39222_c4_g1~~TRINITY_DN39222_c4_g1_i1.p1  ORF type:internal len:239 (+),score=51.52,APAF_DANRE|31.746|6.06e-13,WD40|PF00400.31|17,WD40|PF00400.31|0.0001,WD40|PF00400.31|11,WD40|PF00400.31|12,WD40|PF00400.31|1.5e+04,ANAPC4_WD40|PF12894.6|0.0047,ANAPC4_WD40|PF12894.6|0.00011,WD40_like|PF17005.4|4.4,WD40_like|PF17005.4|0.46,Frtz|PF11768.7|8.7e+02,Frtz|PF11768.7|0.0045,Ge1_WD40|PF16529.4|24,Ge1_WD40|PF16529.4|1.1,Ge1_WD40|PF16529.4|2.1e+02,Cytochrom_D1|PF02239.15|1.8e+02,Cytochrom_D1|PF02239.15|0.17 TRINITY_DN39222_c4_g1_i1:2-715(+)
TRINITY_DN33679_c0_g1_i1.p1  -          Apaf-caspas          -            7.2e-36  125.4   0.0   7.9e-36  125.3   0.0   1.0   1   0   0   1   1   1   1 TRINITY_DN33679_c0_g1~~TRINITY_DN33679_c0_g1_i1.p1  ORF type:internal len:113 (+),score=18.68,APAF_HUMAN|33.929|1.96e-16,NB-ARC|PF00931.21|4.9e-11,DUF1041|PF06292.16|0.082 TRINITY_DN33679_c0_g1_i1:3-338(+)
TRINITY_DN37362_c0_g1_i1.p1  -          Apaf-caspas          -            4.5e-24   86.3  11.4   0.00034   20.5   0.0   7.0   4   2   3   7   7   7   5 TRINITY_DN37362_c0_g1~~TRINITY_DN37362_c0_g1_i1.p1  ORF type:5prime_partial len:971 (-),score=243.73,YY46_NOSS1|26.087|2.03e-59,YY46_NOSS1|23.558|4.22e-41,YY46_NOSS1|25.561|2.48e-38,YY46_NOSS1|24.685|5.53e-28,WD40|PF00400.31|3.1e-07,WD40|PF00400.31|2.4e+02,WD40|PF00400.31|0.016,WD40|PF00400.31|3.1e+02,WD40|PF00400.31|0.0011,WD40|PF00400.31|0.28,WD40|PF00400.31|0.0014,WD40|PF00400.31|1.1e-09,WD40|PF00400.31|9.5,WD40|PF00400.31|2.8,WD40|PF00400.31|0.24,WD40|PF00400.31|0.0031,WD40|PF00400.31|3.4e-07,ANAPC4_WD40|PF12894.6|1.5e+02,ANAPC4_WD40|PF12894.6|11,ANAPC4_WD40|PF12894.6|1.3e+02,ANAPC4_WD40|PF12894.6|0.99,ANAPC4_WD40|PF12894.6|0.022,ANAPC4_WD40|PF12894.6|0.54,ANAPC4_WD40|PF12894.6|6.1e+02,ANAPC4_WD40|PF12894.6|86,ANAPC4_WD40|PF12894.6|51,WD40_like|PF17005.4|9,WD40_like|PF17005.4|0.36,WD40_like|PF17005.4|0.0067,WD40_like|PF17005.4|66,WD40_like|PF17005.4|76,WD40_like|PF17005.4|88,PQQ_2|PF13360.5|0.015,PQQ_2|PF13360.5|14,Ge1_WD40|PF16529.4|2.5,Ge1_WD40|PF16529.4|1.4e+02,Ge1_WD40|PF16529.4|4.7e+02,Frtz|PF11768.7|9.1,Frtz|PF11768.7|20,Frtz|PF11768.7|6.5e+02,Frtz|PF11768.7|2.1e+02,EBP|PF05241.11|28,EBP|PF05241.11|14 TRINITY_DN37362_c0_g1_i1:296-3208(-)
TRINITY_DN39459_c5_g1_i1.p1  -          Apaf-caspas          -            2.2e-19   70.8   0.3   4.7e-09   36.6   0.3   4.0   1   1   3   4   4   4   3 TRINITY_DN39459_c5_g1~~TRINITY_DN39459_c5_g1_i1.p1  ORF type:5prime_partial len:488 (-),score=153.15,SMU1_CHICK|85.890|0.0,WD40|PF00400.31|1.4e-06,WD40|PF00400.31|3.4e-05,WD40|PF00400.31|8.3e-06,WD40|PF00400.31|3.9e-08,WD40|PF00400.31|1.7e+04,WD40|PF00400.31|1.9e+02,WD40|PF00400.31|0.003,ANAPC4_WD40|PF12894.6|0.0019,ANAPC4_WD40|PF12894.6|3.2e-05,ANAPC4_WD40|PF12894.6|0.0083,ANAPC4_WD40|PF12894.6|1.4e+03,ANAPC4_WD40|PF12894.6|4.3e+02,ANAPC4_WD40|PF12894.6|5.1e+02,Ge1_WD40|PF16529.4|0.0062,Ge1_WD40|PF16529.4|0.0043,Ge1_WD40|PF16529.4|0.0066,Nup160|PF11715.7|22,Nup160|PF11715.7|0.018,Nup160|PF11715.7|0.07,Nup160|PF11715.7|1.5e+02,PD40|PF07676.11|0.41,PD40|PF07676.11|2.7e+03,PD40|PF07676.11|6.9e+02,Hira|PF07569.10|4.6e+03,Hira|PF07569.10|8.4e+02,Hira|PF07569.10|55,Hira|PF07569.10|29,Hira|PF07569.10|3.7e+02 TRINITY_DN39459_c5_g1_i1:291-1754(-)
TRINITY_DN32217_c0_g1_i3.p1  -          Apaf-caspas          -            7.6e-18   65.7   0.6   1.3e-05   25.1   0.2   4.4   1   1   2   4   4   4   3 TRINITY_DN32217_c0_g1~~TRINITY_DN32217_c0_g1_i3.p1  ORF type:5prime_partial len:343 (+),score=66.36,WDR61_DANRE|64.286|6.86e-154,WD40|PF00400.31|13,WD40|PF00400.31|9.7e-05,WD40|PF00400.31|0.06,WD40|PF00400.31|0.012,WD40|PF00400.31|3.9e-09,WD40|PF00400.31|1.3e-08,WD40|PF00400.31|7.5e-06,ANAPC4_WD40|PF12894.6|99,ANAPC4_WD40|PF12894.6|0.11,ANAPC4_WD40|PF12894.6|3.9e-05,ANAPC4_WD40|PF12894.6|0.0011,ANAPC4_WD40|PF12894.6|0.047,ANAPC4_WD40|PF12894.6|47,eIF2A|PF08662.10|1.5e-06,eIF2A|PF08662.10|1.8,eIF2A|PF08662.10|5e+02,Ge1_WD40|PF16529.4|3.9,Ge1_WD40|PF16529.4|2.1e+02,Ge1_WD40|PF16529.4|4,Ge1_WD40|PF16529.4|0.27,Ge1_WD40|PF16529.4|4.4,Ge1_WD40|PF16529.4|58,Cytochrom_D1|PF02239.15|2.2,Cytochrom_D1|PF02239.15|0.026,Cytochrom_D1|PF02239.15|0.37,Cytochrom_D1|PF02239.15|52,Nup160|PF11715.7|0.084,Nup160|PF11715.7|4.8e+02,Nup160|PF11715.7|0.058,WD40_like|PF17005.4|14,WD40_like|PF17005.4|0.14,WD40_like|PF17005.4|4.7,Frtz|PF11768.7|71,Frtz|PF11768.7|0.15,Frtz|PF11768.7|11,Nucleoporin_N|PF08801.10|37,Nucleoporin_N|PF08801.10|2.5,Nucleoporin_N|PF08801.10|1.1e+02,PALB2_WD40|PF16756.4|1e+02,PALB2_WD40|PF16756.4|1.6e+03,PALB2_WD40|PF16756.4|0.25,PD40|PF07676.11|2.5e+02,PD40|PF07676.11|1.5,PD40|PF07676.11|1.6e+03,PD40|PF07676.11|9.1e+02,PD40|PF07676.11|56,DUF5046|PF16465.4|3,DUF5046|PF16465.4|0.77,DUF5046|PF16465.4|8.1e+02,PHTB1_N|PF14727.5|64,PHTB1_N|PF14727.5|2.6 TRINITY_DN32217_c0_g1_i3:2-1030(+)
TRINITY_DN27690_c0_g1_i1.p1  -          Apaf-caspas          -              3e-17   63.7   0.3   1.6e-05   24.8   0.0   4.0   1   1   3   4   4   4   4 TRINITY_DN27690_c0_g1~~TRINITY_DN27690_c0_g1_i1.p1  ORF type:complete len:356 (+),score=73.76,GNB5A_DANRE|71.965|0.0,WD40|PF00400.31|4.5e-06,WD40|PF00400.31|0.9,WD40|PF00400.31|0.074,WD40|PF00400.31|6.8e-05,WD40|PF00400.31|2.1e-10,WD40|PF00400.31|0.0016,WD40|PF00400.31|1.5e-07,ANAPC4_WD40|PF12894.6|0.21,ANAPC4_WD40|PF12894.6|0.013,ANAPC4_WD40|PF12894.6|60,ANAPC4_WD40|PF12894.6|0.017,ANAPC4_WD40|PF12894.6|4.5,ANAPC4_WD40|PF12894.6|6.7e+02,eIF2A|PF08662.10|0.071,eIF2A|PF08662.10|0.94,eIF2A|PF08662.10|0.15,WD40_like|PF17005.4|66,WD40_like|PF17005.4|5.1,WD40_like|PF17005.4|0.039,WD40_like|PF17005.4|9.1e+02,Ge1_WD40|PF16529.4|5.7,Ge1_WD40|PF16529.4|1.9e+02,Ge1_WD40|PF16529.4|11,Ge1_WD40|PF16529.4|2.5,PALB2_WD40|PF16756.4|3.6,PALB2_WD40|PF16756.4|11 TRINITY_DN27690_c0_g1_i1:304-1371(+)
TRINITY_DN41942_c1_g1_i1.p1  -          Apaf-caspas          -            2.8e-16   60.5   2.3   1.7e-06   28.1   0.1   3.4   1   1   1   3   3   3   3 TRINITY_DN41942_c1_g1~~TRINITY_DN41942_c1_g1_i1.p1  ORF type:complete len:411 (+),score=85.09,LIS1_BRAFL|76.471|0.0,WD40|PF00400.31|0.0014,WD40|PF00400.31|9.9e-08,WD40|PF00400.31|3.1e-08,WD40|PF00400.31|2.2e-08,WD40|PF00400.31|8e-05,WD40|PF00400.31|1.8e-09,WD40|PF00400.31|1.6e-07,ANAPC4_WD40|PF12894.6|9.8,ANAPC4_WD40|PF12894.6|0.0056,ANAPC4_WD40|PF12894.6|0.46,ANAPC4_WD40|PF12894.6|0.032,ANAPC4_WD40|PF12894.6|1.4e+02,ANAPC4_WD40|PF12894.6|0.0063,Nup160|PF11715.7|52,Nup160|PF11715.7|12,Nup160|PF11715.7|0.011,Nup160|PF11715.7|52,Nup160|PF11715.7|0.38,Nup160|PF11715.7|0.095,Nup160|PF11715.7|1e+03,LisH|PF08513.10|6.1e-08,LisH|PF08513.10|7.3e+03,NHL|PF01436.20|30,NHL|PF01436.20|20,NHL|PF01436.20|46,NHL|PF01436.20|2.9e+02,Nucleoporin_N|PF08801.10|0.17,Nucleoporin_N|PF08801.10|6.3,Nucleoporin_N|PF08801.10|1.3e+02,Nucleoporin_N|PF08801.10|1.2e+02,Ge1_WD40|PF16529.4|5.7,Ge1_WD40|PF16529.4|77,Ge1_WD40|PF16529.4|2.1,Ge1_WD40|PF16529.4|8,Pox_A_type_inc|PF04508.11|0.026,WD40_like|PF17005.4|0.64,WD40_like|PF17005.4|3.2e+02,WD40_like|PF17005.4|3.4e+03,DUF4550|PF15084.5|18,DUF4550|PF15084.5|41 TRINITY_DN41942_c1_g1_i1:138-1370(+)
